2,      HR
4,      HRQ
6,      SPo2
8,      SPO2Q
10,     BloodPressure
14,     BloodPerfusion
18,     Activity
20,     Classification
22,     QualityClassification
24,     steps
26,     Energy
28,     RespRate
29,     HRV
42,     phase
44,     phase
46,     localtemp
48,     objtemp
50,     baromtemp
52,     pressure
131,    SIGNAL
30,     Dark
31,     Green
32,     Red
33,     IR
34,     AX
35,     AY
36,     AZ
37,     greencurr
38,     redcurr
39,     IRcurr
40,     ADCoffs
